,latitude,longitude,cluster,year,District
124,16.3592,78.5685,0,2015,Nagarkurnool
125,16.2398,78.8242,0,2015,Nagarkurnool
126,16.5739,78.0289,0,2015,Wanaparthy
127,16.112,78.6462,0,2015,Nagarkurnool
128,17.7397,80.1178,2,2015,Mahabubabad
129,17.7101,80.3647,0,2015,Bhadradri Kothagudem
130,17.6631,80.2927,0,2015,Bhadradri Kothagudem
131,17.6618,80.283,0,2015,Bhadradri Kothagudem
132,17.6722,80.2912,0,2015,Bhadradri Kothagudem
133,17.6709,80.2816,0,2015,Bhadradri Kothagudem
134,17.701,80.3661,0,2015,Bhadradri Kothagudem
135,17.4929,80.7986,0,2015,Bhadradri Kothagudem
136,17.9537,80.2701,0,2015,Mahabubabad
137,18.0588,80.1585,0,2015,Mulugu
138,17.7638,80.4306,0,2015,Bhadradri Kothagudem
139,17.7729,80.4292,0,2015,Bhadradri Kothagudem
140,17.7743,80.439,0,2015,Bhadradri Kothagudem
141,19.0466,78.6189,0,2015,Nirmal
142,19.1731,78.9186,2,2015,Mancherial District
143,19.048,78.6283,0,2015,Nirmal
144,17.9652,80.2189,0,2015,Mahabubabad
145,17.8856,80.2365,0,2015,Mahabubabad
146,17.9834,80.2161,0,2015,Mahabubabad
147,17.9523,80.2603,0,2015,Mahabubabad
148,18.0878,80.178,0,2015,Mulugu
149,18.1035,80.1957,2,2015,Mulugu
150,17.7476,80.3608,0,2015,Bhadradri Kothagudem
151,17.1284,79.9963,0,2015,Khammam
152,17.4617,80.0758,0,2015,Mahabubabad
153,17.4415,78.2198,0,2015,Rangareddy
154,17.6875,80.34,0,2015,Bhadradri Kothagudem
155,17.7872,80.4973,0,2015,Bhadradri Kothagudem
156,17.6806,80.3364,0,2015,Bhadradri Kothagudem
157,17.7338,80.27,0,2015,Bhadradri Kothagudem
158,17.7322,80.26,0,2015,Bhadradri Kothagudem
159,17.6442,78.0271,0,2015,Sangareddy
160,18.8372,78.5436,0,2015,Jagtial
161,17.9485,80.173,0,2015,Mahabubabad
162,17.981,80.1987,0,2015,Mahabubabad
163,17.7893,80.2751,0,2015,Bhadradri Kothagudem
164,17.7985,80.2735,0,2015,Bhadradri Kothagudem
165,17.8078,80.2719,0,2015,Bhadradri Kothagudem
166,17.944,80.3151,0,2015,Bhadradri Kothagudem
167,18.0009,80.0166,0,2015,Mahabubabad
168,18.0568,78.1888,0,2015,Medak
169,17.8958,79.039,0,2015,Siddipet
170,17.8975,79.0285,0,2015,Siddipet
